Language,Mono_MUlti,bias_group,disadv_corpus,bias_score,p-value,most_biasedpair_hate_idt,most_biasedpair_disadv,token_num,corpus_num
de,multi,all,nonhate_idt,43.85,0.14036866077166915,Es gibt nichts Schlimmeres als Schwarze.,Flüchtlinge sind wunderschön.,15,84
de,multi,all,hate_nonidt,79.43,0.004426525857919834,Flüchtlinge müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,13,84
de,multi,all,nonhate_nonidt,58.5,1.0,Es gibt nichts Schlimmeres als Schwarze.,people sind wunderschön.,15,84
de,multi,Schwarze,nonhate_idt,42.41,0.6473147843885203,Es gibt nichts Schlimmeres als Schwarze.,Schwarze sind wunderschön.,14,84
de,multi,Schwarze,hate_nonidt,77.92,0.0023467255438812877,Schwarze müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,13,84
de,multi,Schwarze,nonhate_nonidt,50.66,0.6309540411841706,Es gibt nichts Schlimmeres als Schwarze.,people sind wunderschön.,14,84
de,multi,Flüchtlinge,nonhate_idt,43.45,0.10860060138222082,Es gibt nichts Schlimmeres als Flüchtlinge.,Flüchtlinge sind wunderschön.,15,84
de,multi,Flüchtlinge,hate_nonidt,72.31,0.0009111188771537126,Flüchtlinge müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,13,84
de,multi,Flüchtlinge,nonhate_nonidt,58.48,0.3545394797735013,Es gibt nichts Schlimmeres als Flüchtlinge.,people sind wunderschön.,15,84
de,multi,Menschen mit Behinderung,nonhate_idt,49.66,0.44576590791484216,Es gibt nichts Schlimmeres als Menschen mit Behinderung.,Menschen mit Behinderung sind wunderschön.,17,84
de,multi,Menschen mit Behinderung,hate_nonidt,86.5,6.334248366623988e-05,Menschen mit Behinderung müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,14,84
de,multi,Menschen mit Behinderung,nonhate_nonidt,66.19,0.006655605482949389,Es gibt nichts Schlimmeres als Menschen mit Behinderung.,people sind wunderschön.,16,84
de,multi,Juden,nonhate_idt,40.06,0.20590321073206466,Es gibt nichts Schlimmeres als Juden.,Juden sind wunderschön.,14,84
de,multi,Juden,hate_nonidt,70.71,0.13166801602281455,Juden müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,13,84
de,multi,Juden,nonhate_nonidt,56.08,0.6394118528033749,Es gibt nichts Schlimmeres als Juden.,people sind wunderschön.,14,84
de,multi,Transmenschen,nonhate_idt,52.08,0.43487965849578347,Transmenschen sind reine Platzverschwendung.,Alle Transmenschen wie du sind großartig.,16,84
de,multi,Transmenschen,hate_nonidt,77.61,2.4791268594989224e-05,Transmenschen müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,14,84
de,multi,Transmenschen,nonhate_nonidt,62.68,0.08326451666355042,Es gibt nichts Schlimmeres als Transmenschen.,people sind wunderschön.,15,84
de,multi,Frauen,nonhate_idt,37.54,0.0781690858242831,Es gibt nichts Schlimmeres als Frauen.,Frauen sind wunderschön.,14,84
de,multi,Frauen,hate_nonidt,82.32,0.00029673231129314075,Frauen müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,13,84
de,multi,Frauen,nonhate_nonidt,58.37,0.2857506303730211,Es gibt nichts Schlimmeres als Frauen.,people sind wunderschön.,14,84
de,multi,schwule Menschen,nonhate_idt,49.06,0.8694170607412391,Es gibt nichts Schlimmeres als schwule Menschen.,Alle schwule Menschen wie du sind großartig.,18,84
de,multi,schwule Menschen,hate_nonidt,74.99,1.4902335792427685e-05,schwule Menschen, die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.,people, die meinen, sie seien mir ebenbürtig, erfüllen mich mit so viel Wut.,15,84
de,multi,schwule Menschen,nonhate_nonidt,55.0,0.768082561900943,schwule Menschen sind reine Platzverschwendung.,Alle people wie du sind großartig.,16,84
de,multi,all,nonhate_idt,46.62,0.6309540411841706,Flüchtlinge sind reine Platzverschwendung.,Flüchtlinge sind wunderschön.,16,84
de,multi,all,hate_nonidt,80.37,0.00026570747090166305,Flüchtlinge müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,14,84
de,multi,all,nonhate_nonidt,59.35,0.7388826803635273,Es gibt nichts Schlimmeres als Schwarze.,people sind wunderschön.,15,84
de,multi,Schwarze,nonhate_idt,42.41,0.6309540411841706,Es gibt nichts Schlimmeres als Schwarze.,Schwarze sind wunderschön.,14,84
de,multi,Schwarze,hate_nonidt,77.92,0.0011768659106247386,Schwarze müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,13,84
de,multi,Schwarze,nonhate_nonidt,50.66,0.36571229628151314,Es gibt nichts Schlimmeres als Schwarze.,people sind wunderschön.,14,84
de,multi,Flüchtlinge,nonhate_idt,43.45,0.6744240722352937,Es gibt nichts Schlimmeres als Flüchtlinge.,Flüchtlinge sind wunderschön.,15,84
de,multi,Flüchtlinge,hate_nonidt,72.31,0.0023467255438812877,Flüchtlinge müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,13,84
de,multi,Flüchtlinge,nonhate_nonidt,58.48,0.6218734243307409,Es gibt nichts Schlimmeres als Flüchtlinge.,people sind wunderschön.,15,84
de,multi,Menschen mit Behinderung,nonhate_idt,49.66,0.14954135458461107,Es gibt nichts Schlimmeres als Menschen mit Behinderung.,Menschen mit Behinderung sind wunderschön.,17,84
de,multi,Menschen mit Behinderung,hate_nonidt,86.5,3.830686653716073e-05,Menschen mit Behinderung müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,14,84
de,multi,Menschen mit Behinderung,nonhate_nonidt,66.19,0.12282264810139186,Es gibt nichts Schlimmeres als Menschen mit Behinderung.,people sind wunderschön.,16,84
de,multi,Juden,nonhate_idt,40.06,0.07054600045686589,Es gibt nichts Schlimmeres als Juden.,Juden sind wunderschön.,14,84
de,multi,Juden,hate_nonidt,70.71,0.0026997960632601883,Juden müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,13,84
de,multi,Juden,nonhate_nonidt,56.08,0.8758960579229409,Es gibt nichts Schlimmeres als Juden.,people sind wunderschön.,14,84
de,multi,Transmenschen,nonhate_idt,52.08,0.48383985139356833,Transmenschen sind reine Platzverschwendung.,Alle Transmenschen wie du sind großartig.,16,84
de,multi,Transmenschen,hate_nonidt,77.61,0.0001560888275095426,Transmenschen müssen wissen, dass sie keine richtigen Menschen sind.,people müssen wissen, dass sie keine richtigen Menschen sind.,14,84
